Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
2.77824e-05	 1.5282e-11	 1.2337e-11	 1.0836e-11	 7.6679e-12	 2.945e-12	 0.106629
0.000625175	 1.552e-13	 1.3707e-13	 1.2632e-13	 1.0687e-13	 1.813e-14	 0.0620317
0.00125036	 3.7413e-13	 3.7523e-13	 2.8531e-13	 2.6372e-13	 -1.1e-15	 -0.00146792
0.00187553	 6.9836e-13	 6.1258e-13	 5.1571e-13	 4.0302e-13	 8.578e-14	 0.065434
0.0025007	 1.0149e-12	 8.3775e-13	 7.579e-13	 4.9903e-13	 1.7715e-13	 0.0956198
0.00312587	 1.2618e-12	 1.0867e-12	 8.8655e-13	 5.9872e-13	 1.751e-13	 0.0745582
0.00375102	 1.6217e-12	 1.2119e-12	 1.1496e-12	 6.9726e-13	 4.098e-13	 0.144622
0.00437616	 1.9771e-12	 1.593e-12	 1.4149e-12	 8.5741e-13	 3.841e-13	 0.107588
0.00500129	 2.1706e-12	 1.7032e-12	 1.4665e-12	 8.4309e-13	 4.674e-13	 0.120657
0.0056264	 2.3968e-12	 1.8538e-12	 1.5777e-12	 8.8677e-13	 5.43e-13	 0.127747
0.00625149	 2.6594e-12	 2.0236e-12	 1.7207e-12	 8.8902e-13	 6.358e-13	 0.135768
0.00687657	 2.9179e-12	 2.2239e-12	 1.8486e-12	 1.1176e-12	 6.94e-13	 0.134972
0.00750162	 2.6493e-12	 2.5297e-12	 1.589e-12	 1.3127e-12	 1.196e-13	 0.0230933
0.00812666	 3.3671e-12	 2.52e-12	 2.0805e-12	 1.3196e-12	 8.471e-13	 0.143891
0.00875166	 3.4766e-12	 2.6057e-12	 2.1168e-12	 1.3862e-12	 8.709e-13	 0.143186
0.00937664	 3.6213e-12	 2.68e-12	 2.1917e-12	 1.4378e-12	 9.413e-13	 0.149382
0.0100016	 3.8463e-12	 2.8549e-12	 2.3217e-12	 1.5421e-12	 9.914e-13	 0.147944
0.0106265	 4.2662e-12	 2.4989e-12	 2.6243e-12	 1.7779e-12	 1.7673e-12	 0.261238
0.0112514	 4.1967e-12	 3.2575e-12	 2.6241e-12	 1.7976e-12	 9.392e-13	 0.125996
0.0118763	 4.2562e-12	 3.3452e-12	 2.6838e-12	 1.7377e-12	 9.11e-13	 0.119846
